Date,Assets,AssetsCurrent,Liabilities,LiabilitiesCurrent,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,RetainedEarningsAccumulatedDeficit,CashAndCashEquivalentsAtCarryingValue,InventoryNet,CommonStockSharesOutstanding
2006-09-30,,,,,9984000000,,,6392000000,,
2007-09-29,,,,,14531000000,,,9352000000,,
2008-06-28,,,,,,,,9373000000,,
2008-09-27,36171000000,30006000000,13874000000,11361000000,22297000000,,15129000000,11875000000,509000000,888325973
2008-12-27,,,,,,,,7236000000,,
2009-03-28,,,,,,,,4466000000,,
2009-06-27,48140000000,35170000000,22252000000,16661000000,25888000000,,17878000000,5605000000,380000000,895735210
2009-09-26,47501000000,31555000000,15861000000,11506000000,31640000000,,23353000000,5263000000,455000000,899805500
2009-12-26,53926000000,33332000000,18158000000,13097000000,35768000000,,26695000000,7609000000,576000000,906282182
2010-03-27,57057000000,32336000000,17709000000,12229000000,39348000000,,29670000000,10018000000,638000000,909635811
2010-06-26,64725000000,36033000000,21614000000,15612000000,43111000000,,32870000000,9705000000,942000000,913482347
2010-09-25,75183000000,41678000000,27392000000,20722000000,47791000000,,37169000000,11261000000,1051000000,915970000
2010-12-25,86742000000,43927000000,32076000000,23795000000,54666000000,,43050000000,10734000000,885000000,921035475
2011-03-26,94904000000,46997000000,33427000000,24327000000,61477000000,,49025000000,15978000000,930000000,924674079
2011-06-25,106758000000,46898000000,37415000000,26859000000,69343000000,,56239000000,12091000000,889000000,926903779
2011-09-24,116371000000,44988000000,39756000000,27970000000,76615000000,,62841000000,9815000000,776000000,929277000
2011-12-31,138681000000,54771000000,48627000000,34607000000,90054000000,,75709000000,10310000000,1236000000,932214000
2012-03-31,150934000000,50712000000,48436000000,32036000000,102498000000,,87124000000,10121000000,1102000000,934982000
2012-06-30,162896000000,51943000000,51150000000,33060000000,111746000000,,95641000000,7945000000,1122000000,937266000
2012-09-29,176064000000,57653000000,57854000000,38542000000,118210000000,,101289000000,10746000000,791000000,939208000
2012-12-29,196088000000,72348000000,68742000000,46879000000,127346000000,,109567000000,16154000000,1455000000,938973000
2013-03-30,194743000000,63337000000,59253000000,35508000000,135490000000,,116572000000,12053000000,1245000000,940094000
2013-06-29,199856000000,68219000000,76502000000,36319000000,123354000000,,104564000000,11248000000,1697000000,908442000
2013-09-28,207000000000,73286000000,83451000000,43658000000,123549000000,,104256000000,14259000000,1764000000,6294494000
2013-12-28,225184000000,80347000000,95500000000,53769000000,129684000000,,109431000000,14077000000,2122000000,892447000
2014-03-29,205989000000,70541000000,85810000000,43208000000,120179000000,,98934000000,18949000000,1829000000,861745
2014-06-28,222520000000,67949000000,101580000000,46205000000,120940000000,,98715000000,12977000000,1594000000,5989171000
2014-09-27,231839000000,68531000000,120292000000,63448000000,111547000000,,87152000000,13844000000,2111000000,5866161000
2014-12-27,261894000000,83403000000,138566000000,73611000000,123328000000,,97178000000,19478000000,2283000000,5826419000
2015-03-28,261194000000,67891000000,132188000000,58729000000,129006000000,,100920000000,14489000000,2396000000,5762278000
2015-06-27,273151000000,70953000000,147474000000,65285000000,125677000000,,98252000000,15319000000,2042000000,5705400000
