Date,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,PaymentsToAcquirePropertyPlantAndEquipment,DepreciationDepletionAndAmortization,PaymentsForRepurchaseOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,RepaymentsOfLongTermDebt,PaymentsOfDividends
2007-09-29,5470000000,-3249000000,739000000,,,,,,
2008-06-28,5301000000,-6196000000,916000000,,,,,,
2008-09-27,9596000000,-8189000000,1116000000,,,,,,
2008-12-27,3938000000,-8639000000,62000000,,,,,,
2009-03-28,4779000000,-12324000000,136000000,,,,,,
2009-06-27,7049000000,-13663000000,344000000,,,,,,
2009-09-26,10159000000,-17434000000,663000000,,,,,,
2009-12-26,5781000000,-3958000000,523000000,,,,,,
2010-03-27,8111000000,-4041000000,685000000,,,,,,
2010-06-26,12912000000,-9471000000,1001000000,,,,,,
2010-09-25,18595000000,-13854000000,1257000000,,,,,,
2010-12-25,9773000000,-10729000000,429000000,,,,,,
2011-03-26,15992000000,-12251000000,976000000,,,,,,
2011-06-25,27100000000,-27283000000,1013000000,,,,,,
2011-09-24,37529000000,-40419000000,1444000000,,,0,0,,
2011-12-31,17554000000,-17128000000,69000000,,,0,,,0
2012-03-31,31531000000,-31604000000,379000000,,,0,,,0
2012-06-30,41720000000,-43914000000,324000000,,,0,0,,0
2012-09-29,50856000000,-48227000000,-1698000000,,,0,0,,2500000000
2012-12-29,23426000000,-13521000000,-4497000000,,,1950000000,,,2486000000
2013-03-30,35930000000,-27878000000,-6745000000,,,1950000000,,,2490000000
2013-06-29,43758000000,-34385000000,-8871000000,,,17950000000,16896000000,,2789000000
2013-09-28,53666000000,-33774000000,-16379000000,8165000000,,22860000000,16896000000,,10528000000
2013-12-28,22670000000,-15103000000,-7749000000,1985000000,,5029000000,0,,2739000000
2014-03-29,,,,3367000000,,23000000000,0,,2655000000
2014-06-28,,,,5745000000,,28000000000,11960000000,,2830000000
2014-09-27,,,,9571000000,,45000000000,11960000000,0,11031000000
2014-12-27,,,,3217000000,,5030000000,3485000000,,2750000000
2015-03-28,,,,5586000000,,12000000000,11332000000,,2734000000
2015-06-27,,,,7629000000,,22000000000,21312000000,0,2997000000
2015-09-26,81266000000,-56274000000,-17716000000,11247000000,9200000000,35253000000,27114000000,0,11561000000
2015-12-26,,,,3612000000,,6863000000,0,,2898000000
2016-03-26,39064000000,-34110000000,-4560000000,5948000000,,13530000000,15584000000,,2879000000
2016-06-25,49698000000,-38580000000,-14001000000,8757000000,,23696000000,17984000000,2500000000,9058000000
2016-09-24,66231000000,-45977000000,-20890000000,12734000000,10505000000,29722000000,24954000000,2500000000,12150000000
2016-12-31,27234000000,-19122000000,-12225000000,3334000000,,10851000000,0,,3130000000
2017-04-01,39804000000,-33324000000,-11807000000,6309000000,,18012000000,10975000000,0,6134000000
