,,,,,,,,,,,
,2024,,2023
Deferred tax assets:,,,
Capitalized research and development,$,"10,739",,,$,"6,294",
Tax credit carryforwards,"8,856",,,"8,302",
Accrued liabilities and other reserves,"6,114",,,"6,365",
Deferred revenue,"3,413",,,"4,571",
Lease liabilities,"2,410",,,"2,421",
Unrealized losses,"1,173",,,"2,447",
Other,"2,168",,,"2,343",
Total deferred tax assets,"34,873",,,"32,743",
Less: Valuation allowance,"(8,866)",,,"(8,374)",
"Total deferred tax assets, net","26,007",,,"24,369",
Deferred tax liabilities:,,,
Depreciation,"2,551",,,"1,998",
Right-of-use assets,"2,125",,,"2,179",
Minimum tax on foreign earnings,"1,674",,,"1,940",
Unrealized gains,—,,,511,
Other,455,,,490,
Total deferred tax liabilities,"6,805",,,"7,118",
Net deferred tax assets,$,"19,202",,,$,"17,251",
