,,,,,,,,,,,,,,
Name,,Title,,Date
,,,,
/s/ Timothy D. Cook,,Chief Executive Officer and Director(Principal Executive Officer),,"November 1, 2024"
TIMOTHY D. COOK,,,
,,,,
/s/ Luca Maestri,,"Senior Vice President, Chief Financial Officer(Principal Financial Officer)",,"November 1, 2024"
LUCA MAESTRI,,,
,,,,
/s/ Chris Kondo,,Senior Director of Corporate Accounting(Principal Accounting Officer),,"November 1, 2024"
CHRIS KONDO,,,
,,,,
/s/ Wanda Austin,,Director,,"November 1, 2024"
WANDA AUSTIN,,,
,,,,
/s/ Alex Gorsky,,Director,,"November 1, 2024"
ALEX GORSKY,,,
,,,,
/s/ Andrea Jung,,Director,,"November 1, 2024"
ANDREA JUNG,,,
,,,,
/s/ Arthur D. Levinson,,Director and Chair of the Board,,"November 1, 2024"
ARTHUR D. LEVINSON,,,
,,,,
/s/ Monica Lozano,,Director,,"November 1, 2024"
MONICA LOZANO,,,
,,,,
/s/ Ronald D. Sugar,,Director,,"November 1, 2024"
RONALD D. SUGAR,,,
,,,,
/s/ Susan L. Wagner,,Director,,"November 1, 2024"
SUSAN L. WAGNER,,,
